feature,var,acc
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dit' ",0.019718508338969883,0.7805061891308839
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'noc' ",0.019920323682184875,0.7811599403157207
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'rfc' ",0.018680155307891865,0.7822121246996456
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'ce' ",0.019121653694729422,0.7809013589032899
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam' ",0.01982247094360885,0.7836319808893764
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'moa' ",0.019920393078779318,0.7835789701767025
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'ic' ",0.01986467000567759,0.7820792207222507
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'cbm' ",0.019810803239362625,0.7818705798845367
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'amc' ",0.018610148180340985,0.7818659721280329
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'max_cc' ",0.019458865888159073,0.78176495040762
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'dit' ",0.020043945699654866,0.7831899431705278
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'noc' ",0.020227414193486677,0.7832758884333959
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'rfc' ",0.019099988398674852,0.7840281241269842
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'ce' ",0.019501350568527174,0.7829881534275891
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa' ",0.020227477281299807,0.7847569727553866
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'ic' ",0.020176819942116418,0.7835418392132611
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'cbm' ",0.02012785015455736,0.7836398000617294
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'amc' ",0.01903634555544678,0.7835607986924542
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'max_cc' ",0.01980790710800867,0.7831608257448905
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'dit' ",0.020396745279534407,0.7850272688651094
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'noc' ",0.02056492473221357,0.7840849960620444
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'rfc' ",0.019531451086969392,0.7846008975903622
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'ce' ",0.019899366409334023,0.784254036794727
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'ic' ",0.020518546668457496,0.78358219100769
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'cbm' ",0.02047365769652836,0.7850113394644319
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'amc' ",0.019473111814010326,0.7846727513391579
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'max_cc' ",0.020180376570525394,0.7842600075886101
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'dit', 'noc' ",0.02069521461897522,0.7844486366337247
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'dit', 'rfc' ",0.019741238946442134,0.7852153548213843
