feature,acc
"['loc', 'avg_cc']
","0.698671533775005
"
"['cbo', 'amc']
","0.6875711081946501
"
"['lcom', 'max_cc']
","0.6526286898830298
"
"['cbo', 'ce']
","0.6289615132279424
"
"['ce', 'max_cc']
","0.65669299672126
"
"['ce', 'mfa']
","0.6814337943087052
"
"['cbo', 'cam']
","0.686127697438949
"
"['loc', 'ic']
","0.6899147879496288
"
"['ic', 'avg_cc']
","0.6398036213441758
"
"['lcom3', 'dam']
","0.6336751988165963
"
"['cbm', 'avg_cc']
","0.6439459094677088
"
"['rfc', 'ca']
","0.6612341323474682
"
"['cbo', 'avg_cc']
","0.6799609002569181
"
"['loc', 'dam']
","0.6753524888107575
"
"['noc', 'ca']
","0.5624135460061018
"
"['lcom3', 'cbm']
","0.6459825163415344
"
"['cbo', 'ic']
","0.6374058248022714
"
"['mfa', 'cbm']
","0.6512209370203006
"
"['dam', 'cbm']
","0.6071282495531043
"
"['cam', 'amc']
","0.7110441279125845
"
"['lcom3', 'loc']
","0.6969875802930007
"
"['ca', 'cam']
","0.6628382904955485
"
"['noc', 'cbo']
","0.6182309003726603
"
"['dam', 'amc']
","0.6738531311511723
"
"['loc', 'cbm']
","0.6924247482133208
"
"['dit', 'lcom']
","0.6468508004617747
"
"['cbo', 'dam']
","0.6395381651185973
"
"['ca', 'avg_cc']
","0.6472649371778895
"
"['npm', 'max_cc']
","0.6500501450143903
"
"['loc', 'moa']
","0.6736882931962256
"
"['dit', 'amc']
","0.6762064510106705
"
"['dam', 'cam']
","0.6597893416711831
"
"['lcom3', 'mfa']
","0.6783830236085956
"
"['ic', 'cbm']
","0.571555030157959
"
"['dit', 'ce']
","0.6473194594644147
"
"['dit', 'noc']
","0.5751883515651652
"
"['cbo', 'rfc']
","0.6794829885205511
"
"['dit', 'mfa', 'avg_cc']
","0.694518492548767
"
"['lcom', 'mfa', 'max_cc']
","0.7071259905596994
"
"['lcom', 'npm', 'dam']
","0.6743979293745374
"
"['ca', 'lcom3', 'amc']
","0.711325285740295
"
"['loc', 'amc', 'avg_cc']
","0.7219782321738283
"
"['rfc', 'lcom', 'dam']
","0.7007354358152567
"
"['cbo', 'loc', 'cbm']
","0.713763280104821
"
"['dit', 'loc', 'max_cc']
","0.7062049459162149
"
"['dit', 'mfa', 'ic']
","0.6592467014899566
"
"['cbo', 'lcom', 'npm']
","0.6987807459819879
"
"['dit', 'loc', 'mfa']
","0.724386478766248
"
"['rfc', 'moa', 'amc']
","0.7088823156590539
"
"['dit', 'rfc', 'dam']
","0.6911413608383603
"
"['dit', 'cbo', 'amc']
","0.703869941729479
"
"['moa', 'cam', 'amc']
","0.7169400937198469
"
"['ca', 'cam', 'amc']
","0.7276229059286119
"
"['rfc', 'ce', 'cbm']
","0.7039879154548178
"
"['ca', 'ic', 'cbm']
","0.6112660906259162
"
"['lcom3', 'moa', 'avg_cc']
","0.6694317747301654
"
"['lcom', 'npm', 'amc']
","0.7226157384874992
"
"['lcom', 'ic', 'max_cc']
","0.6682988777108433
"
"['rfc', 'lcom', 'amc']
","0.7144846870873435
"
"['rfc', 'npm', 'ic']
","0.7068039462270772
"
"['cbo', 'lcom', 'lcom3']
","0.6985355222842592
"
"['npm', 'loc', 'max_cc']
","0.7131166880839773
"
"['dit', 'rfc', 'amc']
","0.7165432935416162
"
"['npm', 'mfa', 'ic']
","0.6872292643608571
"
"['cbo', 'ce', 'max_cc']
","0.6780452209757442
"
"['lcom', 'ca', 'ce']
","0.6924830310057507
"
"['rfc', 'ce', 'cam']
","0.7144552412862628
"
"['ce', 'npm', 'loc']
","0.7270931240960429
"
"['dit', 'rfc', 'loc']
","0.7146410830856259
"
"['dit', 'noc', 'ca']
","0.6147341023799043
"
"['dit', 'npm', 'avg_cc']
","0.6836284545573797
"
"['dit', 'lcom', 'ca']
","0.6691872568795401
"
"['cam', 'amc', 'max_cc']
","0.7191039858905285
"
"['npm', 'amc', 'max_cc']
","0.7146635563371582
"
"['cbo', 'rfc', 'lcom']
","0.7168118671739079
"
"['dit', 'ca', 'ce']
","0.6783693644044209
"
"['ce', 'npm', 'max_cc']
","0.7037804782986026
"
"['ce', 'npm', 'mfa']
","0.7235604684175171
"
"['moa', 'amc', 'max_cc']
","0.6976767704075412
"
"['mfa', 'cbm', 'amc']
","0.7114375454708836
"
"['ce', 'lcom3', 'avg_cc']
","0.7054807624931477
"
"['noc', 'npm', 'moa']
","0.6294554217067373
"
"['lcom', 'ca', 'ic']
","0.6557034702222623
"
"['dit', 'ca', 'avg_cc']
","0.6724473564940512
"
"['loc', 'mfa', 'ic']
","0.7210014917912004
"
"['cbo', 'mfa', 'cbm']
","0.7049066907381925
"
"['cbo', 'rfc', 'cam']
","0.7193586826793155
"
"['cbo', 'dam', 'cbm']
","0.6745436337040749
"
"['ce', 'lcom3', 'ic']
","0.6875278949859842
"
"['dit', 'mfa', 'max_cc']
","0.6875865237158963
"
"['dit', 'npm', 'dam']
","0.6663696147527586
"
"['ca', 'lcom3', 'moa']
","0.6384671876677762
"
"['dit', 'dam', 'max_cc']
","0.6569405383203087
"
"['dit', 'ca', 'ic']
","0.6265355789061244
"
